origen,destino,tipo,distancia_km,restriccion,valor_restriccion
Zarate,Buenos_Aires,Ferroviaria,85,velocidad_max,80
Zarate,Junin,Ferroviaria,185,,
Junin,Azul,Ferroviaria,265,,
Azul,Mar_del_Plata,Ferroviaria,246,,
Buenos_Aires,Mar_del_Plata,Ferroviaria,384,,
Zarate,Buenos_Aires,Automotor,85,,
Zarate,Junin,Automotor,185,peso_max,15000
Junin,Buenos_Aires,Automotor,238,,
Junin,Azul,Automotor,265,,
Azul,Buenos_Aires,Automotor,278,,
Azul,Mar_del_Plata,Automotor,246,,
Buenos_Aires,Mar_del_Plata,Automotor,384,,
Zarate,Buenos_Aires,Fluvial,85,tipo,fluvial
Buenos_Aires,Mar_del_Plata,Fluvial,384,tipo,maritimo
Junin,Buenos_Aires,Aerea,238,prob_mal_tiempo,0.1
Azul,Buenos_Aires,Aerea,278,prob_mal_tiempo,0.2
Buenos_Aires,Mar_del_Plata,Aerea,384,prob_mal_tiempo,0.3
